predictor,feature,feature_group,feature_mse
global_mean,pix_202,pix,0.9836573004722595
global_mean,pix_203,pix,0.9997294545173645
global_mean,pix_204,pix,0.9675541520118713
global_mean,pix_205,pix,1.0188138484954834
global_mean,pix_206,pix,0.9893193244934082
global_mean,pix_207,pix,1.0062824487686157
global_mean,pix_208,pix,0.9896787405014038
global_mean,pix_209,pix,0.9546968340873718
global_mean,pix_210,pix,1.2555389404296875
global_mean,pix_211,pix,1.0208736658096313
global_mean,pix_212,pix,0.9985662698745728
global_mean,pix_213,pix,0.9614570736885071
global_mean,pix_214,pix,0.9325951933860779
global_mean,pix_215,pix,0.8969135284423828
global_mean,pix_216,pix,0.9396650791168213
global_mean,pix_217,pix,0.958940863609314
global_mean,pix_218,pix,1.0032474994659424
global_mean,pix_219,pix,0.9760104417800903
global_mean,pix_220,pix,0.9914823174476624
global_mean,pix_221,pix,1.0141438245773315
global_mean,pix_222,pix,1.0302542448043823
global_mean,pix_223,pix,1.0234262943267822
global_mean,pix_224,pix,0.9701550006866455
global_mean,pix_225,pix,1.2827343940734863
global_mean,pix_226,pix,1.132675290107727
global_mean,pix_227,pix,1.0029314756393433
global_mean,pix_228,pix,0.9970803260803223
global_mean,pix_229,pix,0.9518460035324097
global_mean,pix_230,pix,0.9815257787704468
global_mean,pix_231,pix,0.979767918586731
global_mean,pix_232,pix,0.983661949634552
global_mean,pix_233,pix,0.9843975901603699
global_mean,pix_234,pix,1.0588268041610718
global_mean,pix_235,pix,1.019982099533081
global_mean,pix_236,pix,0.9924471378326416
global_mean,pix_237,pix,0.9778226613998413
global_mean,pix_238,pix,0.9868925213813782
global_mean,pix_239,pix,1.0356677770614624
global_mean,zer_000,zer,1.142561674118042
global_mean,zer_001,zer,1.3501739501953125
global_mean,zer_002,zer,1.175903558731079
global_mean,zer_003,zer,1.0756189823150635
global_mean,zer_004,zer,1.0591089725494385
global_mean,zer_005,zer,0.9772565364837646
global_mean,zer_006,zer,1.0387732982635498
global_mean,zer_007,zer,1.084599256515503
global_mean,zer_008,zer,0.9491704702377319
global_mean,zer_009,zer,0.923983097076416
global_mean,zer_010,zer,0.926685631275177
global_mean,zer_011,zer,0.9841411113739014
global_mean,zer_012,zer,1.0356882810592651
global_mean,zer_013,zer,1.3868582248687744
global_mean,zer_014,zer,1.1940349340438843
global_mean,zer_015,zer,1.1394681930541992
global_mean,zer_016,zer,0.9725937843322754
global_mean,zer_017,zer,1.0112836360931396
global_mean,zer_018,zer,0.9290376901626587
global_mean,zer_019,zer,0.9483961462974548
global_mean,zer_020,zer,0.9171865582466125
global_mean,zer_021,zer,0.9420931935310364
global_mean,zer_022,zer,0.9865273237228394
global_mean,zer_023,zer,0.9975996613502502
global_mean,zer_024,zer,1.2044683694839478
global_mean,zer_025,zer,1.1665092706680298
global_mean,zer_026,zer,0.9464942812919617
global_mean,zer_027,zer,0.9280247688293457
global_mean,zer_028,zer,0.9341872930526733
global_mean,zer_029,zer,0.9091214537620544
global_mean,zer_030,zer,0.9414782524108887
global_mean,zer_031,zer,0.9505463242530823
global_mean,zer_032,zer,0.9513018131256104
global_mean,zer_033,zer,1.1755836009979248
global_mean,zer_034,zer,0.9541588425636292
global_mean,zer_035,zer,0.9536677002906799
global_mean,zer_036,zer,0.9947195649147034
global_mean,zer_037,zer,0.9390304088592529
